household_id,person_id,country,sex,age,relhh,marstat,educ,hosp12,wat_source,stove,refrigerator,tv,bike,motorbike,computer,car,video,stereo,sew,merge_index
8.06E+14,5,Tanzania,1,28,3,0,0,0,0,1,0,0,1,0,0,0,0,1,1,12751
1.00E+15,2,Tanzania,1,26,2,0,1,0,0,1,0,1,0,0,0,0,1,1,0,13404
5.10E+15,6,Tanzania,1,35,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16426
6.06E+14,2,Tanzania,1,37,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,11133
1.71E+15,5,Tanzania,0,16,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,15365
1.91E+15,8,Tanzania,0,20,3,0,2,0,0,1,0,1,1,1,0,0,1,0,0,15945
7.01E+14,6,Tanzania,0,22,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11532
1.30E+15,1,Tanzania,0,70,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,14118
5.04E+14,1,Tanzania,1,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10859
6.02E+14,2,Tanzania,1,18,2,1,1,0,0,1,1,1,0,0,0,0,1,1,0,11062
5.04E+14,2,Tanzania,1,22,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10862
1.10E+15,3,Tanzania,0,20,3,0,2,0,0,1,0,0,1,0,0,0,0,1,1,13602
4.05E+14,1,Tanzania,1,34,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,10660
3.04E+14,1,Tanzania,0,81,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10408
1.01E+14,3,Tanzania,0,27,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9944
7.01E+14,1,Tanzania,0,30,1,1,3,0,0,1,1,1,0,1,1,0,1,1,1,11754
9.02E+14,2,Tanzania,1,30,2,1,2,0,0,1,0,1,0,0,0,0,1,1,0,12890
7.01E+14,2,Tanzania,1,27,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,11583
7.01E+14,7,Tanzania,0,24,4,0,3,0,1,1,1,1,0,0,1,0,1,1,0,11744
1.01E+15,4,Tanzania,0,81,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13458
7.03E+14,4,Tanzania,1,22,3,0,2,0,1,1,1,1,0,0,0,0,1,1,0,12142
1.01E+14,8,Tanzania,0,23,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9954
5.30E+15,1,Tanzania,0,44,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,16661
1.80E+15,1,Tanzania,1,38,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,15407
5.10E+15,2,Tanzania,1,38,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,16421
1.80E+15,2,Tanzania,1,47,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,15485
5.50E+15,1,Tanzania,0,41,1,1,2,0,1,1,0,0,1,0,0,0,0,1,0,17327
5.04E+14,2,Tanzania,1,36,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10870
